Age,Hours per day,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Primary streaming service_I do not use a streaming service.,Primary streaming service_Other streaming service,Primary streaming service_Pandora,Primary streaming service_Spotify,Primary streaming service_YouTube Music,Fav genre_Country,Fav genre_EDM,Fav genre_Folk,Fav genre_Gospel,Fav genre_Hip hop,Fav genre_Jazz,Fav genre_K pop,Fav genre_Latin,Fav genre_Lofi,Fav genre_Metal,Fav genre_Pop,Fav genre_R&B,Fav genre_Rap,Fav genre_Rock,Fav genre_Video game music,Music effects_No effect,Music effects_Worsen,While working_Yes,Instrumentalist_Yes,Composer_Yes,Exploratory_Yes,Foreign languages_Yes
17.0,4.0,120.0,0,1,3,0,0,0,1,0,0,1,3,2,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
17.0,4.0,142.0,1,1,1,3,0,2,1,1,0,1,1,3,1,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
19.0,3.0,130.0,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
18.0,1.0,108.0,2,1,0,2,0,2,0,0,0,0,2,2,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
25.0,4.0,150.0,1,0,2,0,0,3,0,1,1,1,2,3,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
27.0,8.0,132.0,0,0,1,0,0,2,0,0,0,0,3,3,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
21.0,4.0,62.0,1,0,0,1,0,0,0,0,0,0,1,3,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
28.0,0.5,130.0,1,2,0,3,0,1,1,0,0,0,0,2,0,1,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17.0,6.0,120.0,3,1,0,0,0,1,2,1,0,2,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
35.0,6.0,166.0,2,1,2,3,0,1,2,1,1,2,2,2,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
20.0,3.0,170.0,0,0,1,0,0,1,0,2,0,1,1,2,2,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
17.0,2.0,116.0,3,2,0,3,2,1,3,0,2,2,0,3,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
24.0,2.0,93.0,1,2,0,3,0,2,2,0,1,2,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
20.0,2.0,114.0,1,1,0,2,0,0,1,0,0,0,1,2,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
57.0,2.0,174.0,2,0,0,1,3,0,2,0,1,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
19.0,6.0,120.0,1,2,2,1,1,3,1,1,1,2,1,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
19.0,3.0,122.0,3,1,0,0,0,0,0,1,0,2,0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
23.0,1.0,85.0,2,2,2,1,0,1,2,1,1,3,0,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
44.0,2.0,105.0,2,2,2,2,1,2,1,1,0,0,2,2,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
21.0,4.0,137.0,2,3,1,3,0,2,0,0,0,1,2,3,2,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
18.0,6.0,101.0,2,1,1,1,1,2,2,0,0,0,0,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1
31.0,2.0,92.0,2,1,1,2,0,2,1,1,2,3,3,2,2,2,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
19.0,1.0,94.0,1,2,1,1,0,2,1,0,0,1,1,3,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
67.0,4.0,146.0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
27.0,3.0,171.0,2,0,0,1,0,2,1,0,0,1,3,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
34.0,2.0,100.0,1,1,1,0,0,2,1,1,0,1,1,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
37.0,4.0,97.0,1,2,2,2,0,3,1,0,0,2,2,2,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
23.0,6.0,87.0,0,0,2,2,0,1,0,2,2,0,0,3,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
16.0,0.5,156.0,2,0,1,0,0,1,1,0,0,0,0,2,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
23.0,4.0,78.0,1,0,2,2,0,3,1,3,2,3,1,3,3,3,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
21.0,8.0,162.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
24.0,6.0,118.0,0,1,2,3,0,1,1,2,0,1,3,2,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
17.0,2.0,128.0,0,1,3,0,0,1,0,0,1,1,3,2,2,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
18.0,4.0,129.0,1,1,1,0,0,3,2,0,0,1,0,3,3,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
19.0,3.0,90.0,2,1,2,0,0,3,2,1,0,2,1,3,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
19.0,6.0,78.0,1,1,1,0,0,2,2,2,1,2,0,3,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
39.0,1.0,89.0,0,1,1,2,0,3,1,1,1,2,2,3,2,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
17.0,3.0,120.0,2,2,2,0,0,0,0,1,0,1,3,3,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0
17.0,4.0,135.0,3,0,0,0,0,3,3,1,3,2,2,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
27.0,10.0,185.0,2,0,2,0,0,2,1,0,0,1,3,3,1,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
20.0,3.0,136.0,0,3,0,0,0,0,0,0,0,0,3,3,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
18.0,6.0,80.0,0,3,3,3,2,2,1,1,1,2,2,3,2,2,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
18.0,5.0,124.0,0,1,1,0,0,1,1,3,1,1,0,3,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
19.0,2.0,80.0,1,0,1,0,0,2,2,3,0,2,0,2,3,1,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
30.0,1.0,200.0,0,0,3,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
34.0,4.0,161.0,1,0,2,0,0,2,1,0,0,0,3,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
36.0,8.0,143.0,2,1,2,1,0,1,1,0,0,0,3,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
